,metric,method,truncation_mode,level,k,silhouette,DBscore
0,cityblock,complete,,2,6,0.20503215962904428,1.9270029736436767
1,cityblock,complete,,2,7,0.20448706124566154,1.8864489804416091
2,cityblock,complete,,2,8,0.20161650918268223,1.6702072995048798
3,cityblock,complete,,2,9,0.21789117208103292,1.7204541650979541
4,cityblock,complete,,2,10,0.21722989955806862,1.5787786426948907
5,cityblock,complete,,5,6,0.20503215962904428,1.9270029736436767
6,cityblock,complete,,5,7,0.20448706124566154,1.8864489804416091
7,cityblock,complete,,5,8,0.20161650918268223,1.6702072995048798
8,cityblock,complete,,5,9,0.21789117208103292,1.7204541650979541
9,cityblock,complete,,5,10,0.21722989955806862,1.5787786426948907
10,cityblock,complete,,10,6,0.20503215962904428,1.9270029736436767
11,cityblock,complete,,10,7,0.20448706124566154,1.8864489804416091
12,cityblock,complete,,10,8,0.20161650918268223,1.6702072995048798
13,cityblock,complete,,10,9,0.21789117208103292,1.7204541650979541
14,cityblock,complete,,10,10,0.21722989955806862,1.5787786426948907
15,cityblock,complete,,15,6,0.20503215962904428,1.9270029736436767
16,cityblock,complete,,15,7,0.20448706124566154,1.8864489804416091
17,cityblock,complete,,15,8,0.20161650918268223,1.6702072995048798
18,cityblock,complete,,15,9,0.21789117208103292,1.7204541650979541
19,cityblock,complete,,15,10,0.21722989955806862,1.5787786426948907
20,cityblock,complete,lastp,2,6,0.20503215962904428,1.9270029736436767
21,cityblock,complete,lastp,2,7,0.20448706124566154,1.8864489804416091
22,cityblock,complete,lastp,2,8,0.20161650918268223,1.6702072995048798
23,cityblock,complete,lastp,2,9,0.21789117208103292,1.7204541650979541
24,cityblock,complete,lastp,2,10,0.21722989955806862,1.5787786426948907
25,cityblock,complete,lastp,5,6,0.20503215962904428,1.9270029736436767
26,cityblock,complete,lastp,5,7,0.20448706124566154,1.8864489804416091
27,cityblock,complete,lastp,5,8,0.20161650918268223,1.6702072995048798
28,cityblock,complete,lastp,5,9,0.21789117208103292,1.7204541650979541
29,cityblock,complete,lastp,5,10,0.21722989955806862,1.5787786426948907
30,cityblock,complete,lastp,10,6,0.20503215962904428,1.9270029736436767
31,cityblock,complete,lastp,10,7,0.20448706124566154,1.8864489804416091
32,cityblock,complete,lastp,10,8,0.20161650918268223,1.6702072995048798
33,cityblock,complete,lastp,10,9,0.21789117208103292,1.7204541650979541
34,cityblock,complete,lastp,10,10,0.21722989955806862,1.5787786426948907
35,cityblock,complete,lastp,15,6,0.20503215962904428,1.9270029736436767
36,cityblock,complete,lastp,15,7,0.20448706124566154,1.8864489804416091
37,cityblock,complete,lastp,15,8,0.20161650918268223,1.6702072995048798
38,cityblock,complete,lastp,15,9,0.21789117208103292,1.7204541650979541
39,cityblock,complete,lastp,15,10,0.21722989955806862,1.5787786426948907
40,cityblock,complete,level,2,6,0.20503215962904428,1.9270029736436767
41,cityblock,complete,level,2,7,0.20448706124566154,1.8864489804416091
42,cityblock,complete,level,2,8,0.20161650918268223,1.6702072995048798
43,cityblock,complete,level,2,9,0.21789117208103292,1.7204541650979541
44,cityblock,complete,level,2,10,0.21722989955806862,1.5787786426948907
45,cityblock,complete,level,5,6,0.20503215962904428,1.9270029736436767
46,cityblock,complete,level,5,7,0.20448706124566154,1.8864489804416091
47,cityblock,complete,level,5,8,0.20161650918268223,1.6702072995048798
48,cityblock,complete,level,5,9,0.21789117208103292,1.7204541650979541
49,cityblock,complete,level,5,10,0.21722989955806862,1.5787786426948907
50,cityblock,complete,level,10,6,0.20503215962904428,1.9270029736436767
51,cityblock,complete,level,10,7,0.20448706124566154,1.8864489804416091
52,cityblock,complete,level,10,8,0.20161650918268223,1.6702072995048798
53,cityblock,complete,level,10,9,0.21789117208103292,1.7204541650979541
54,cityblock,complete,level,10,10,0.21722989955806862,1.5787786426948907
55,cityblock,complete,level,15,6,0.20503215962904428,1.9270029736436767
56,cityblock,complete,level,15,7,0.20448706124566154,1.8864489804416091
57,cityblock,complete,level,15,8,0.20161650918268223,1.6702072995048798
58,cityblock,complete,level,15,9,0.21789117208103292,1.7204541650979541
59,cityblock,complete,level,15,10,0.21722989955806862,1.5787786426948907
60,cityblock,single,,2,6,0.3212965425064398,0.38598174961999643
61,cityblock,single,,2,7,0.3201064737269907,0.3856807407647457
62,cityblock,single,,2,8,0.19994414341814162,0.4338537659052316
63,cityblock,single,,2,9,0.10785567544997808,0.4877818325351196
64,cityblock,single,,2,10,0.1078511947067076,0.47788982985075945
65,cityblock,single,,5,6,0.3212965425064398,0.38598174961999643
66,cityblock,single,,5,7,0.3201064737269907,0.3856807407647457
67,cityblock,single,,5,8,0.19994414341814162,0.4338537659052316
68,cityblock,single,,5,9,0.10785567544997808,0.4877818325351196
69,cityblock,single,,5,10,0.1078511947067076,0.47788982985075945
70,cityblock,single,,10,6,0.3212965425064398,0.38598174961999643
71,cityblock,single,,10,7,0.3201064737269907,0.3856807407647457
72,cityblock,single,,10,8,0.19994414341814162,0.4338537659052316
73,cityblock,single,,10,9,0.10785567544997808,0.4877818325351196
74,cityblock,single,,10,10,0.1078511947067076,0.47788982985075945
75,cityblock,single,,15,6,0.3212965425064398,0.38598174961999643
76,cityblock,single,,15,7,0.3201064737269907,0.3856807407647457
77,cityblock,single,,15,8,0.19994414341814162,0.4338537659052316
78,cityblock,single,,15,9,0.10785567544997808,0.4877818325351196
79,cityblock,single,,15,10,0.1078511947067076,0.47788982985075945
80,cityblock,single,lastp,2,6,0.3212965425064398,0.38598174961999643
81,cityblock,single,lastp,2,7,0.3201064737269907,0.3856807407647457
82,cityblock,single,lastp,2,8,0.19994414341814162,0.4338537659052316
83,cityblock,single,lastp,2,9,0.10785567544997808,0.4877818325351196
84,cityblock,single,lastp,2,10,0.1078511947067076,0.47788982985075945
85,cityblock,single,lastp,5,6,0.3212965425064398,0.38598174961999643
86,cityblock,single,lastp,5,7,0.3201064737269907,0.3856807407647457
87,cityblock,single,lastp,5,8,0.19994414341814162,0.4338537659052316
88,cityblock,single,lastp,5,9,0.10785567544997808,0.4877818325351196
89,cityblock,single,lastp,5,10,0.1078511947067076,0.47788982985075945
90,cityblock,single,lastp,10,6,0.3212965425064398,0.38598174961999643
91,cityblock,single,lastp,10,7,0.3201064737269907,0.3856807407647457
92,cityblock,single,lastp,10,8,0.19994414341814162,0.4338537659052316
93,cityblock,single,lastp,10,9,0.10785567544997808,0.4877818325351196
94,cityblock,single,lastp,10,10,0.1078511947067076,0.47788982985075945
95,cityblock,single,lastp,15,6,0.3212965425064398,0.38598174961999643
96,cityblock,single,lastp,15,7,0.3201064737269907,0.3856807407647457
97,cityblock,single,lastp,15,8,0.19994414341814162,0.4338537659052316
98,cityblock,single,lastp,15,9,0.10785567544997808,0.4877818325351196
99,cityblock,single,lastp,15,10,0.1078511947067076,0.47788982985075945
100,cityblock,single,level,2,6,0.3212965425064398,0.38598174961999643
101,cityblock,single,level,2,7,0.3201064737269907,0.3856807407647457
102,cityblock,single,level,2,8,0.19994414341814162,0.4338537659052316
103,cityblock,single,level,2,9,0.10785567544997808,0.4877818325351196
104,cityblock,single,level,2,10,0.1078511947067076,0.47788982985075945
105,cityblock,single,level,5,6,0.3212965425064398,0.38598174961999643
106,cityblock,single,level,5,7,0.3201064737269907,0.3856807407647457
107,cityblock,single,level,5,8,0.19994414341814162,0.4338537659052316
108,cityblock,single,level,5,9,0.10785567544997808,0.4877818325351196
109,cityblock,single,level,5,10,0.1078511947067076,0.47788982985075945
110,cityblock,single,level,10,6,0.3212965425064398,0.38598174961999643
111,cityblock,single,level,10,7,0.3201064737269907,0.3856807407647457
112,cityblock,single,level,10,8,0.19994414341814162,0.4338537659052316
113,cityblock,single,level,10,9,0.10785567544997808,0.4877818325351196
114,cityblock,single,level,10,10,0.1078511947067076,0.47788982985075945
115,cityblock,single,level,15,6,0.3212965425064398,0.38598174961999643
116,cityblock,single,level,15,7,0.3201064737269907,0.3856807407647457
117,cityblock,single,level,15,8,0.19994414341814162,0.4338537659052316
118,cityblock,single,level,15,9,0.10785567544997808,0.4877818325351196
119,cityblock,single,level,15,10,0.1078511947067076,0.47788982985075945
120,cityblock,average,,2,6,0.25113274835253635,1.152227946411552
121,cityblock,average,,2,7,0.25000124906495214,1.2716408967275334
122,cityblock,average,,2,8,0.24987493556459694,1.1655209107524858
123,cityblock,average,,2,9,0.24719024117150595,1.087339967635514
124,cityblock,average,,2,10,0.24154005230003775,1.0286550143296085
125,cityblock,average,,5,6,0.25113274835253635,1.152227946411552
126,cityblock,average,,5,7,0.25000124906495214,1.2716408967275334
